Area : 790.7809
Perimeter : 108.1815
No.       East        North        Elevation
1        139.4000         144.1482       9.000
2        144.3094         145.6968       9.000
3        149.6064         144.1482       9.000
4        159.9419         144.1482       9.000
5        166.9184         147.1163       9.000
6        169.6315         154.4719       9.000
7        168.0811         159.5047       9.000
8        165.6265         162.9890       9.000
9        162.2674         169.3122       9.000
10        157.3580         173.0546       9.000
11        152.1902         173.0546       9.000
12        148.0560         170.9898       9.000
13        143.2758         170.9898       9.000
14        140.9503         170.9898       9.000
15        138.7540         170.9898       9.000
16        137.2037         163.2471       9.000
17        137.2037         158.0852       9.000
18        137.2037         153.6976       9.000
19        135.0074         148.1486       9.000
20        135.0074         146.9872       9.000
#
Area : 552.7406
Perimeter : 90.8836
No.       East        North        Elevation
1        141.1991         146.7111       0.000
2        139.7731         146.4549       0.000
3        138.9952         146.5075       0.000
4        138.4922         147.0686       0.000
5        138.3168         147.7523       0.000
6        138.5141         148.3633       0.000
7        139.6328         150.6407       0.000
8        140.5219         152.6628       0.000
9        140.9643         153.9566       0.000
10        140.8482         156.0100       0.000
11        140.1538         158.6735       0.000
12        139.9630         161.4707       0.000
13        140.1981         164.5304       0.000
14        140.7282         166.6261       0.000
15        141.2122         167.9848       0.000
16        142.2724         169.0211       0.000
17        143.3556         169.4817       0.000
18        144.4524         169.5357       0.000
19        145.9124         169.0857       0.000
20        147.5124         168.9190       0.000
21        148.9922         169.3429       0.000
22        150.4404         170.1363       0.000
23        151.6851         170.6693       0.000
24        153.6929         170.6801       0.000
25        156.0864         170.6597       0.000
26        157.3397         170.4103       0.000
27        158.6934         169.6499       0.000
28        159.8987         168.4882       0.000
29        161.4355         165.8445       0.000
30        162.3719         163.6885       0.000
31        163.5945         160.8500       0.000
32        164.5924         159.5962       0.000
33        165.4844         158.1006       0.000
34        165.8926         156.4842       0.000
35        165.9837         151.9302       0.000
36        165.4636         150.4774       0.000
37        164.2333         148.2842       0.000
38        163.1514         147.2232       0.000
39        161.6089         146.6516       0.000
40        158.4582         145.9623       0.000
41        157.4286         145.7977       0.000
42        151.9571         146.1730       0.000
43        147.8536         146.4614       0.000
44        143.6517         146.6871       0.000
#
Area : 114.6386
Perimeter : 42.7645
No.       East            North            Elevation
1        147.5031         152.9896      -5.000
2        147.5256         153.0554      -5.000
3        147.3013         157.0233      -5.000
