Code,Name,N,E,Z,B,L,84H,RMS_x,RMS_y,RMS_h,Solution,Start time,Measure times,Antenna height,Antenna measure type,RMS,PDOP,HDOP,VDOP,TDOP,GDOP,Elevation,Tilt distance,End time,Base ID
B,Base:lak12-12-63,1859677.939,508359.604,146.443,"16?49'13.09246""","99?04'42.46098""",109.232,0,0,0,base,12/12/2020 8:03,0,1.744,Slant,0,0,0,0,0,0,"00?00'00.00000""",0,12/12/2020 8:03,0
·™°,241-1,1859713.388,508330.703,144.75,"16?49'14.24644""","99?04'41.48494""",107.538,0.001,0.001,0.005,fixed,12/12/2020 8:07,60,2,Bottom of receiver,0.003,1.577,0.75,1.387,1.069,1.905,"15?00'00.00000""",0,12/12/2020 8:08,2
·™°,241-2,1859713.388,508330.702,144.752,"16?49'14.24646""","99?04'41.48488""",107.54,0.002,0.002,0.005,fixed,12/12/2020 8:08,60,2,Bottom of receiver,0.004,1.57,0.749,1.38,1.064,1.897,"15?00'00.00000""",0,12/12/2020 8:09,2
·™°,241-3,1859713.387,508330.703,144.757,"16?49'14.24640""","99?04'41.48491""",107.544,0.001,0.001,0.005,fixed,12/12/2020 8:09,60,2,Bottom of receiver,0.003,1.564,0.748,1.374,1.058,1.889,"15?00'00.00000""",0,12/12/2020 8:10,2
 «π,X67-1,1861581.165,506060.521,137.079,"16?50'15.05455""","99?03'24.79625""",99.8,0.003,0.003,0.006,fixed,12/12/2020 8:40,5,2,Bottom of receiver,0.005,1.318,0.739,1.091,0.831,1.558,"15?00'00.00000""",0,12/12/2020 8:40,2
¢Õ∫∑“ß,X67-2,1861579.672,506058.248,136.966,"16?50'15.00597""","99?03'24.71944""",99.688,0.003,0.003,0.005,fixed,12/12/2020 8:40,5,2,Bottom of receiver,0.004,1.135,0.626,0.947,0.677,1.322,"15?00'00.00000""",0,12/12/2020 8:40,2
¢Õ∫∑“ß,X67-3,1861578.083,506054.235,137.14,"16?50'14.95429""","99?03'24.58381""",99.861,0.003,0.003,0.007,fixed,12/12/2020 8:41,5,2,Bottom of receiver,0.005,1.184,0.638,0.997,0.72,1.385,"15?00'00.00000""",0,12/12/2020 8:41,2
ªË“,X67-4,1861576.373,506050.736,137.723,"16?50'14.89867""","99?03'24.46554""",100.444,0.003,0.003,0.006,fixed,12/12/2020 8:41,5,2,Bottom of receiver,0.005,1.11,0.639,0.908,0.641,1.282,"15?00'00.00000""",0,12/12/2020 8:42,2
ªË“,X67-5,1861573.795,506045.943,138.117,"16?50'14.81485""","99?03'24.30357""",100.839,0.004,0.004,0.01,fixed,12/12/2020 8:42,5,2,Bottom of receiver,0.008,1.211,0.673,1.007,0.713,1.406,"15?00'00.00000""",0,12/12/2020 8:42,2
ªË“,X67-6,1861572.057,506041.705,138.243,"16?50'14.75830""","99?03'24.16034""",100.964,0.003,0.003,0.008,fixed,12/12/2020 8:42,5,2,Bottom of receiver,0.007,1.196,0.701,0.97,0.715,1.394,"15?00'00.00000""",0,12/12/2020 8:42,2
ªË“,X67-7,1861565.465,506042.388,138.738,"16?50'14.54379""","99?03'24.18336""",101.46,0.004,0.004,0.014,fixed,12/12/2020 8:43,5,2,Bottom of receiver,0.01,1.082,0.611,0.893,0.623,1.248,"15?00'00.00000""",0,12/12/2020 8:43,2
ªË“,X67-8,1861569.302,506047.071,138.295,"16?50'14.66861""","99?03'24.34163""",101.017,0.004,0.004,0.01,fixed,12/12/2020 8:44,5,2,Bottom of receiver,0.008,1.147,0.64,0.952,0.677,1.332,"15?00'00.00000""",0,12/12/2020 8:44,2
ªË“,X67-9,1861571.796,506050.37,137.885,"16?50'14.74975""","99?03'24.45314""",100.607,0.002,0.002,0.004,fixed,12/12/2020 8:44,5,2,Bottom of receiver,0.003,1.206,0.679,0.997,0.703,1.396,"15?00'00.00000""",0,12/12/2020 8:44,2
ªË“,X67-10,1861559.366,506039.871,139.366,"16?50'14.34531""","99?03'24.09824""",102.088,0.004,0.004,0.009,fixed,12/12/2020 8:45,5,2,Bottom of receiver,0.007,1.167,0.67,0.956,0.662,1.342,"15?00'00.00000""",0,12/12/2020 8:45,2
ªË“,X67-11,1861549.987,506032.721,140.317,"16?50'14.04016""","99?03'23.85653""",103.039,0.003,0.003,0.009,fixed,12/12/2020 8:45,5,2,Bottom of receiver,0.006,1.02,0.572,0.845,0.573,1.17,"15?00'00.00000""",0,12/12/2020 8:45,2
ªË“,X67-12,1861545.086,506032.244,140.503,"16?50'13.88069""","99?03'23.84037""",103.226,0.002,0.002,0.006,fixed,12/12/2020 8:46,5,2,Bottom of receiver,0.004,1.021,0.572,0.845,0.574,1.171,"15?00'00.00000""",0,12/12/2020 8:46,2
ªË“,X67-13,1861539.681,506031.781,140.711,"16?50'13.70478""","99?03'23.82467""",103.434,0.002,0.002,0.007,fixed,12/12/2020 8:46,5,2,Bottom of receiver,0.005,1.04,0.595,0.853,0.588,1.195,"15?00'00.00000""",0,12/12/2020 8:46,2
ªË“,X67-14,1861533.226,506030.92,141.066,"16?50'13.49474""","99?03'23.79551""",103.789,0.004,0.004,0.012,fixed,12/12/2020 8:46,5,2,Bottom of receiver,0.009,1.152,0.666,0.94,0.68,1.338,"15?00'00.00000""",0,12/12/2020 8:47,2
ªË“,X67-15,1861526.888,506028.108,141.415,"16?50'13.28852""","99?03'23.70043""",104.138,0.003,0.003,0.009,fixed,12/12/2020 8:47,5,2,Bottom of receiver,0.007,1.207,0.665,1.007,0.737,1.414,"15?00'00.00000""",0,12/12/2020 8:47,2
ªË“,X67-16,1861522.411,506025.868,141.693,"16?50'13.14284""","99?03'23.62468""",104.416,0.002,0.002,0.005,fixed,12/12/2020 8:47,5,2,Bottom of receiver,0.004,1.297,0.723,1.077,0.819,1.534,"15?00'00.00000""",0,12/12/2020 8:47,2
ªË“,X67-17,1861517.843,506022.812,141.759,"16?50'12.99420""","99?03'23.52138""",104.482,0.003,0.003,0.01,fixed,12/12/2020 8:47,5,2,Bottom of receiver,0.007,1.056,0.618,0.857,0.593,1.211,"15?00'00.00000""",0,12/12/2020 8:47,2
ªË“,X67-18,1861514.391,506019.78,141.92,"16?50'12.88188""","99?03'23.41890""",104.644,0.003,0.003,0.007,fixed,12/12/2020 8:48,5,2,Bottom of receiver,0.005,1.1,0.63,0.902,0.64,1.273,"15?00'00.00000""",0,12/12/2020 8:48,2
ªË“,X67-19,1861509.691,506017.132,142.62,"16?50'12.72897""","99?03'23.32935""",105.343,0.004,0.004,0.014,fixed,12/12/2020 8:48,5,2,Bottom of receiver,0.01,1.193,0.671,0.986,0.723,1.395,"15?00'00.00000""",0,12/12/2020 8:48,2
ªË“,X67-20,1861506.031,506012.665,142.608,"16?50'12.60991""","99?03'23.17839""",105.332,0.002,0.002,0.005,fixed,12/12/2020 8:49,5,2,Bottom of receiver,0.004,1.183,0.681,0.967,0.691,1.37,"15?00'00.00000""",0,12/12/2020 8:49,2
ªË“,X67-21,1861498.558,506008.451,143.474,"16?50'12.36676""","99?03'23.03591""",106.198,0.004,0.004,0.012,fixed,12/12/2020 8:49,5,2,Bottom of receiver,0.009,1.135,0.62,0.951,0.679,1.323,"15?00'00.00000""",0,12/12/2020 8:50,2
ªË“,X67-22,1861493.136,506006.283,144.393,"16?50'12.19033""","99?03'22.96261""",107.117,0.002,0.002,0.006,fixed,12/12/2020 8:50,5,2,Bottom of receiver,0.005,1.077,0.588,0.902,0.624,1.245,"15?00'00.00000""",0,12/12/2020 8:50,2
ªË“,X67-23,1861488.155,506005.378,144.483,"16?50'12.02823""","99?03'22.93196""",107.207,0.002,0.002,0.007,fixed,12/12/2020 8:50,5,2,Bottom of receiver,0.005,1.144,0.636,0.952,0.675,1.329,"15?00'00.00000""",0,12/12/2020 8:50,2
ªË“,X68-1,1861468.564,506030.596,142.604,"16?50'11.39045""","99?03'23.78395""",105.328,0.003,0.003,0.005,fixed,12/12/2020 8:55,5,2,Bottom of receiver,0.004,1.171,0.644,0.978,0.709,1.369,"15?00'00.00000""",0,12/12/2020 8:55,2
ªË“,X68-2,1861474.995,506034.349,142.29,"16?50'11.59970""","99?03'23.91084""",105.015,0.004,0.004,0.01,fixed,12/12/2020 8:56,5,2,Bottom of receiver,0.008,1.133,0.622,0.947,0.67,1.317,"15?00'00.00000""",0,12/12/2020 8:56,2
ªË“,X68-3,1861479.931,506038.419,141.57,"16?50'11.76031""","99?03'24.04839""",104.294,0.006,0.006,0.013,fixed,12/12/2020 8:56,5,2,Bottom of receiver,0.011,1.247,0.706,1.028,0.766,1.464,"15?00'00.00000""",0,12/12/2020 8:56,2
ªË“,X68-4,1861483.108,506045.672,140.381,"16?50'11.86363""","99?03'24.29352""",103.105,0.004,0.004,0.008,fixed,12/12/2020 8:57,5,2,Bottom of receiver,0.006,1.317,0.729,1.096,0.838,1.56,"15?00'00.00000""",0,12/12/2020 8:57,2
ªË“,X68-5,1861487.522,506051.276,140.682,"16?50'12.00721""","99?03'24.48292""",103.407,0.01,0.01,0.016,fixed,12/12/2020 8:57,5,2,Bottom of receiver,0.014,1.272,0.748,1.029,0.784,1.494,"15?00'00.00000""",0,12/12/2020 8:57,2
ªË“,X68-6,1861489.965,506053.696,141.133,"16?50'12.08669""","99?03'24.56472""",103.857,0.003,0.003,0.005,fixed,12/12/2020 8:58,5,2,Bottom of receiver,0.005,1.067,0.595,0.886,0.617,1.233,"15?00'00.00000""",0,12/12/2020 8:58,2
ªË“,X68-7,1861494.043,506057.078,141.424,"16?50'12.21935""","99?03'24.67905""",104.148,0.004,0.004,0.008,fixed,12/12/2020 8:58,5,2,Bottom of receiver,0.006,1.143,0.657,0.936,0.673,1.327,"15?00'00.00000""",0,12/12/2020 8:58,2
ªË“,X68-8,1861499.78,506059.906,141.082,"16?50'12.40603""","99?03'24.77469""",103.807,0.004,0.004,0.006,fixed,12/12/2020 8:58,5,2,Bottom of receiver,0.005,1.085,0.609,0.898,0.63,1.255,"15?00'00.00000""",0,12/12/2020 8:58,2
ªË“,X68-9,1861503.777,506063.221,140.87,"16?50'12.53609""","99?03'24.88672""",103.594,0.002,0.002,0.004,fixed,12/12/2020 8:59,5,2,Bottom of receiver,0.003,1.06,0.6,0.873,0.605,1.22,"15?00'00.00000""",0,12/12/2020 8:59,2
ªË“,X68-10,1861508.164,506066.484,140.16,"16?50'12.67880""","99?03'24.99705""",102.884,0.002,0.002,0.005,fixed,12/12/2020 8:59,5,2,Bottom of receiver,0.004,1.085,0.608,0.898,0.627,1.253,"15?00'00.00000""",0,12/12/2020 8:59,2
ªË“,X68-11,1861512.671,506068.765,139.878,"16?50'12.82546""","99?03'25.07415""",102.602,0.002,0.002,0.004,fixed,12/12/2020 8:59,5,2,Bottom of receiver,0.003,1.035,0.569,0.865,0.589,1.191,"15?00'00.00000""",0,12/12/2020 9:00,2
ªË“,X68-12,1861516.271,506070.84,140.229,"16?50'12.94260""","99?03'25.14431""",102.952,0.003,0.003,0.006,fixed,12/12/2020 9:00,5,2,Bottom of receiver,0.005,1.119,0.616,0.934,0.664,1.302,"15?00'00.00000""",0,12/12/2020 9:00,2
ªË“,X68-13,1861520.324,506074.974,140.329,"16?50'13.07447""","99?03'25.28406""",103.053,0.002,0.002,0.004,fixed,12/12/2020 9:00,5,2,Bottom of receiver,0.003,1.073,0.588,0.897,0.621,1.24,"15?00'00.00000""",0,12/12/2020 9:00,2
¢Õ∫∑“ß,X68-14,1861521.241,506077.092,140.345,"16?50'13.10428""","99?03'25.35562""",103.068,0.002,0.002,0.004,fixed,12/12/2020 9:01,5,2,Bottom of receiver,0.004,1.121,0.616,0.936,0.666,1.304,"15?00'00.00000""",0,12/12/2020 9:01,2
¢Õ∫∑“ß,X68-15,1861524.629,506079.553,140.216,"16?50'13.21451""","99?03'25.43881""",102.94,0.002,0.002,0.004,fixed,12/12/2020 9:01,5,2,Bottom of receiver,0.003,1.036,0.568,0.866,0.59,1.192,"15?00'00.00000""",0,12/12/2020 9:01,2
 «π,X68-16,1861530.837,506082.071,140.172,"16?50'13.41652""","99?03'25.52398""",102.895,0.003,0.003,0.006,fixed,12/12/2020 9:02,5,2,Bottom of receiver,0.005,1.084,0.607,0.898,0.627,1.253,"15?00'00.00000""",0,12/12/2020 9:02,2
 «π,X68-17,1861535.857,506084.691,139.939,"16?50'13.57987""","99?03'25.61256""",102.662,0.002,0.002,0.005,fixed,12/12/2020 9:02,5,2,Bottom of receiver,0.004,1.036,0.568,0.866,0.59,1.192,"15?00'00.00000""",0,12/12/2020 9:02,2
 «π,X68-18,1861540.936,506088.128,139.643,"16?50'13.74511""","99?03'25.72876""",102.366,0.003,0.003,0.008,fixed,12/12/2020 9:02,5,2,Bottom of receiver,0.007,1.036,0.568,0.866,0.59,1.192,"15?00'00.00000""",0,12/12/2020 9:02,2
 «π,X68-19,1861545.307,506091.656,139.428,"16?50'13.88732""","99?03'25.84800""",102.151,0.002,0.002,0.006,fixed,12/12/2020 9:03,5,2,Bottom of receiver,0.005,1.036,0.568,0.866,0.59,1.192,"15?00'00.00000""",0,12/12/2020 9:03,2
 «π,X68-20,1861550.671,506096.195,139.098,"16?50'14.06185""","99?03'26.00143""",101.821,0.002,0.002,0.005,fixed,12/12/2020 9:03,5,2,Bottom of receiver,0.004,1.051,0.593,0.868,0.596,1.208,"15?00'00.00000""",0,12/12/2020 9:03,2
 «π,X68-21,1861553.46,506099.143,138.933,"16?50'14.15257""","99?03'26.10109""",101.656,0.002,0.002,0.004,fixed,12/12/2020 9:03,5,2,Bottom of receiver,0.003,1.051,0.582,0.875,0.603,1.212,"15?00'00.00000""",0,12/12/2020 9:03,2
 «π,X69-1,1861526.387,506138.5,138.907,"16?50'13.27116""","99?03'27.43077""",101.631,0.002,0.002,0.004,fixed,12/12/2020 9:05,5,2,Bottom of receiver,0.003,1.084,0.596,0.905,0.633,1.255,"15?00'00.00000""",0,12/12/2020 9:05,2
 «π,X69-2,1861520.519,506133.669,139.336,"16?50'13.08024""","99?03'27.26746""",102.06,0.003,0.003,0.006,fixed,12/12/2020 9:05,5,2,Bottom of receiver,0.005,1.036,0.568,0.867,0.591,1.193,"15?00'00.00000""",0,12/12/2020 9:06,2
 «π,X69-3,1861515.304,506129.373,139.652,"16?50'12.91059""","99?03'27.12225""",102.376,0.003,0.003,0.006,fixed,12/12/2020 9:06,5,2,Bottom of receiver,0.005,1.036,0.568,0.867,0.591,1.193,"15?00'00.00000""",0,12/12/2020 9:06,2
 «π,X69-4,1861507.463,506123.467,140.209,"16?50'12.65546""","99?03'26.92260""",102.933,0.002,0.002,0.006,fixed,12/12/2020 9:06,5,2,Bottom of receiver,0.005,1.036,0.568,0.867,0.591,1.193,"15?00'00.00000""",0,12/12/2020 9:06,2
 «π,X69-5,1861500.017,506118.236,140.641,"16?50'12.41320""","99?03'26.74575""",103.366,0.002,0.002,0.005,fixed,12/12/2020 9:06,5,2,Bottom of receiver,0.004,1.086,0.597,0.908,0.636,1.259,"15?00'00.00000""",0,12/12/2020 9:06,2
 «π,X69-6,1861495.796,506114.735,140.929,"16?50'12.27587""","99?03'26.62741""",103.654,0.002,0.002,0.005,fixed,12/12/2020 9:07,5,2,Bottom of receiver,0.004,1.087,0.597,0.909,0.637,1.26,"15?00'00.00000""",0,12/12/2020 9:07,2
 «π,X69-7,1861489.936,506111.434,141.206,"16?50'12.08522""","99?03'26.51581""",103.931,0.002,0.002,0.005,fixed,12/12/2020 9:07,5,2,Bottom of receiver,0.004,1.087,0.597,0.909,0.637,1.26,"15?00'00.00000""",0,12/12/2020 9:07,2
 «π,X69-8,1861485.431,506108.852,141.193,"16?50'11.93861""","99?03'26.42850""",103.918,0.002,0.002,0.006,fixed,12/12/2020 9:07,5,2,Bottom of receiver,0.005,1.088,0.597,0.91,0.638,1.261,"15?00'00.00000""",0,12/12/2020 9:07,2
¢Õ∫∑“ß,X69-9,1861484.173,506106.135,141.612,"16?50'11.89771""","99?03'26.33668""",104.338,0.003,0.003,0.007,fixed,12/12/2020 9:08,5,2,Bottom of receiver,0.006,1.089,0.597,0.911,0.639,1.262,"15?00'00.00000""",0,12/12/2020 9:08,2
cl,X69-10,1861484.835,506106.653,141.473,"16?50'11.91924""","99?03'26.35418""",104.198,0.003,0.003,0.006,fixed,12/12/2020 9:08,5,2,Bottom of receiver,0.005,1.09,0.597,0.912,0.64,1.264,"15?00'00.00000""",0,12/12/2020 9:08,2
¢Õ∫∑“ß,X69-11,1861481.658,506104.401,141.589,"16?50'11.81588""","99?03'26.27806""",104.315,0.003,0.003,0.006,fixed,12/12/2020 9:08,5,2,Bottom of receiver,0.005,1.09,0.597,0.913,0.64,1.264,"15?00'00.00000""",0,12/12/2020 9:09,2
ªË“,X69-12,1861478.375,506099.797,142.208,"16?50'11.70909""","99?03'26.12245""",104.934,0.003,0.003,0.006,fixed,12/12/2020 9:09,3,2,Bottom of receiver,0.005,1.092,0.597,0.914,0.641,1.266,"15?00'00.00000""",0,12/12/2020 9:09,2
ªË“,X69-13,1861473.453,506094.719,142.31,"16?50'11.54894""","99?03'25.95080""",105.035,0.005,0.005,0.007,fixed,12/12/2020 9:09,3,2,Bottom of receiver,0.007,1.175,0.659,0.973,0.698,1.366,"15?00'00.00000""",0,12/12/2020 9:09,2
ªË“,X69-14,1861470.362,506089.985,142.631,"16?50'11.44840""","99?03'25.79081""",105.356,0.005,0.005,0.009,fixed,12/12/2020 9:10,3,2,Bottom of receiver,0.008,1.187,0.636,1.002,0.724,1.39,"15?00'00.00000""",0,12/12/2020 9:10,2
ªË“,X69-15,1861464.091,506084.087,143.259,"16?50'11.24438""","99?03'25.59145""",105.984,0.005,0.005,0.008,fixed,12/12/2020 9:10,3,2,Bottom of receiver,0.007,1.107,0.62,0.917,0.65,1.284,"15?00'00.00000""",0,12/12/2020 9:10,2
ªË“,X69-16,1861459.091,506084.379,143.192,"16?50'11.08166""","99?03'25.60127""",105.918,0.009,0.009,0.016,fixed,12/12/2020 9:10,3,2,Bottom of receiver,0.013,1.326,0.757,1.089,0.842,1.571,"15?00'00.00000""",0,12/12/2020 9:10,2
ªË“,X69-17,1861451.324,506077.237,143.802,"16?50'10.82898""","99?03'25.35986""",106.528,0.005,0.005,0.017,fixed,12/12/2020 9:11,3,2,Bottom of receiver,0.013,1.095,0.597,0.918,0.645,1.271,"15?00'00.00000""",0,12/12/2020 9:11,2
ªË“,X69-18,1861440.67,506076.365,144.085,"16?50'10.48228""","99?03'25.33029""",106.811,0.002,0.002,0.006,fixed,12/12/2020 9:11,3,2,Bottom of receiver,0.005,1.377,0.76,1.149,0.897,1.644,"15?00'00.00000""",0,12/12/2020 9:12,2
ªË“,X69-19,1861435.164,506073.834,144.446,"16?50'10.30313""","99?03'25.24468""",107.172,0.005,0.005,0.01,fixed,12/12/2020 9:12,3,2,Bottom of receiver,0.009,1.27,0.724,1.044,0.783,1.492,"15?00'00.00000""",0,12/12/2020 9:12,2
ªË“,X70-1,1861421.15,506125.1,140.321,"16?50'09.84659""","99?03'26.97692""",103.048,0.003,0.003,0.005,fixed,12/12/2020 9:14,3,2,Bottom of receiver,0.004,1.1,0.598,0.924,0.65,1.278,"15?00'00.00000""",0,12/12/2020 9:14,2
ªË“,X70-2,1861419.059,506122.788,140.503,"16?50'09.77856""","99?03'26.89879""",103.231,0.002,0.002,0.003,fixed,12/12/2020 9:15,3,2,Bottom of receiver,0.003,1.101,0.598,0.925,0.651,1.279,"15?00'00.00000""",0,12/12/2020 9:15,2
ªË“,X70-3,1861417.558,506120.935,140.713,"16?50'09.72971""","99?03'26.83614""",103.441,0.003,0.003,0.006,fixed,12/12/2020 9:15,3,2,Bottom of receiver,0.005,1.102,0.598,0.925,0.651,1.28,"15?00'00.00000""",0,12/12/2020 9:15,2
ªË“,X70-4,1861428.555,506129.479,139.792,"16?50'10.08751""","99?03'27.12496""",102.519,0.004,0.004,0.01,fixed,12/12/2020 9:16,3,2,Bottom of receiver,0.008,1.247,0.718,1.019,0.751,1.456,"15?00'00.00000""",0,12/12/2020 9:16,2
¢Õ∫∑“ß,X70-5,1861430.19,506129.185,140.034,"16?50'10.14074""","99?03'27.11506""",102.761,0.003,0.003,0.006,fixed,12/12/2020 9:17,3,2,Bottom of receiver,0.005,1.166,0.643,0.973,0.706,1.363,"15?00'00.00000""",0,12/12/2020 9:17,2
¢Õ∫∑“ß,X70-6,1861433.861,506132.346,139.697,"16?50'10.26017""","99?03'27.22191""",102.424,0.003,0.003,0.007,fixed,12/12/2020 9:17,3,2,Bottom of receiver,0.006,1.269,0.687,1.066,0.799,1.499,"15?00'00.00000""",0,12/12/2020 9:17,2
 «π,X70-7,1861439.337,506141.073,139.069,"16?50'10.43830""","99?03'27.51684""",101.796,0.004,0.004,0.009,fixed,12/12/2020 9:18,3,2,Bottom of receiver,0.007,1.275,0.689,1.073,0.805,1.508,"15?00'00.00000""",0,12/12/2020 9:18,2
 «π,X70-8,1861442.146,506143.262,138.955,"16?50'10.52969""","99?03'27.59086""",101.682,0.002,0.002,0.007,fixed,12/12/2020 9:18,3,2,Bottom of receiver,0.005,1.205,0.658,1.01,0.744,1.417,"15?00'00.00000""",0,12/12/2020 9:18,2
 «π,X70-9,1861446.485,506145.408,138.788,"16?50'10.67085""","99?03'27.66339""",101.515,0.002,0.002,0.005,fixed,12/12/2020 9:18,3,2,Bottom of receiver,0.004,1.106,0.599,0.93,0.656,1.286,"15?00'00.00000""",0,12/12/2020 9:18,2
 «π,X70-10,1861449.684,506147.695,138.573,"16?50'10.77495""","99?03'27.74071""",101.3,0.003,0.003,0.007,fixed,12/12/2020 9:19,3,2,Bottom of receiver,0.005,1.137,0.625,0.949,0.682,1.326,"15?00'00.00000""",0,12/12/2020 9:19,2
 «π,X70-11,1861454.243,506150.93,138.221,"16?50'10.92326""","99?03'27.85009""",100.947,0.002,0.002,0.005,fixed,12/12/2020 9:19,3,2,Bottom of receiver,0.004,1.107,0.599,0.931,0.656,1.287,"15?00'00.00000""",0,12/12/2020 9:19,2
 «π,X70-12,1861458.232,506154.245,138.156,"16?50'11.05306""","99?03'27.96213""",100.882,0.002,0.002,0.006,fixed,12/12/2020 9:19,3,2,Bottom of receiver,0.005,1.107,0.599,0.931,0.657,1.287,"15?00'00.00000""",0,12/12/2020 9:19,2
 «π,X70-13,1861461.369,506156.721,138.128,"16?50'11.15513""","99?03'28.04583""",100.854,0.002,0.002,0.007,fixed,12/12/2020 9:19,3,2,Bottom of receiver,0.005,1.107,0.599,0.931,0.657,1.287,"15?00'00.00000""",0,12/12/2020 9:19,2
